Number of Data Points,Classifier Name,Model Accuracy
75,<function decisionTree at 0x7f536612a4c0>,50.0
75,<function randomForest at 0x7f536612a550>,50.0
76,<function naiveBayes at 0x7f536612a3a0>,58.33
76,<function logisticRegression at 0x7f536612a430>,50.0
76,<function decisionTree at 0x7f536612a4c0>,50.0
76,<function randomForest at 0x7f536612a550>,41.67
77,<function naiveBayes at 0x7f536612a3a0>,41.67
77,<function logisticRegression at 0x7f536612a430>,41.67
77,<function decisionTree at 0x7f536612a4c0>,41.67
77,<function randomForest at 0x7f536612a550>,41.67
78,<function naiveBayes at 0x7f536612a3a0>,50.0
78,<function logisticRegression at 0x7f536612a430>,41.67
78,<function decisionTree at 0x7f536612a4c0>,58.33
78,<function randomForest at 0x7f536612a550>,41.67
79,<function naiveBayes at 0x7f536612a3a0>,58.33
79,<function logisticRegression at 0x7f536612a430>,58.33
79,<function decisionTree at 0x7f536612a4c0>,58.33
79,<function randomForest at 0x7f536612a550>,66.67
80,<function naiveBayes at 0x7f536612a3a0>,58.33
80,<function logisticRegression at 0x7f536612a430>,58.33
80,<function decisionTree at 0x7f536612a4c0>,41.67
80,<function randomForest at 0x7f536612a550>,58.33
81,<function naiveBayes at 0x7f536612a3a0>,53.85
81,<function logisticRegression at 0x7f536612a430>,69.23
81,<function decisionTree at 0x7f536612a4c0>,53.85
81,<function randomForest at 0x7f536612a550>,61.54
82,<function naiveBayes at 0x7f536612a3a0>,53.85
82,<function logisticRegression at 0x7f536612a430>,53.85
82,<function decisionTree at 0x7f536612a4c0>,46.15
82,<function randomForest at 0x7f536612a550>,53.85
83,<function naiveBayes at 0x7f536612a3a0>,61.54
83,<function logisticRegression at 0x7f536612a430>,30.77
83,<function decisionTree at 0x7f536612a4c0>,53.85
83,<function randomForest at 0x7f536612a550>,30.77
84,<function naiveBayes at 0x7f536612a3a0>,46.15
84,<function logisticRegression at 0x7f536612a430>,53.85
84,<function decisionTree at 0x7f536612a4c0>,53.85
84,<function randomForest at 0x7f536612a550>,61.54
85,<function naiveBayes at 0x7f536612a3a0>,30.77
85,<function logisticRegression at 0x7f536612a430>,53.85
85,<function decisionTree at 0x7f536612a4c0>,69.23
85,<function randomForest at 0x7f536612a550>,46.15
86,<function naiveBayes at 0x7f536612a3a0>,38.46
86,<function logisticRegression at 0x7f536612a430>,46.15
86,<function decisionTree at 0x7f536612a4c0>,46.15
86,<function randomForest at 0x7f536612a550>,53.85
87,<function naiveBayes at 0x7f536612a3a0>,57.14
87,<function logisticRegression at 0x7f536612a430>,57.14
87,<function decisionTree at 0x7f536612a4c0>,50.0
87,<function randomForest at 0x7f536612a550>,50.0
88,<function naiveBayes at 0x7f536612a3a0>,57.14
88,<function logisticRegression at 0x7f536612a430>,64.29
88,<function decisionTree at 0x7f536612a4c0>,50.0
88,<function randomForest at 0x7f536612a550>,64.29
89,<function naiveBayes at 0x7f536612a3a0>,50.0
89,<function logisticRegression at 0x7f536612a430>,42.86
89,<function decisionTree at 0x7f536612a4c0>,71.43
89,<function randomForest at 0x7f536612a550>,50.0
90,<function naiveBayes at 0x7f536612a3a0>,50.0
90,<function logisticRegression at 0x7f536612a430>,78.57
90,<function decisionTree at 0x7f536612a4c0>,57.14
90,<function randomForest at 0x7f536612a550>,57.14
91,<function naiveBayes at 0x7f536612a3a0>,50.0
91,<function logisticRegression at 0x7f536612a430>,50.0
91,<function decisionTree at 0x7f536612a4c0>,50.0
91,<function randomForest at 0x7f536612a550>,50.0
92,<function naiveBayes at 0x7f536612a3a0>,35.71
92,<function logisticRegression at 0x7f536612a430>,42.86
92,<function decisionTree at 0x7f536612a4c0>,50.0
92,<function randomForest at 0x7f536612a550>,50.0
93,<function naiveBayes at 0x7f536612a3a0>,57.14
93,<function logisticRegression at 0x7f536612a430>,42.86
93,<function decisionTree at 0x7f536612a4c0>,57.14
93,<function randomForest at 0x7f536612a550>,50.0
94,<function naiveBayes at 0x7f536612a3a0>,33.33
94,<function logisticRegression at 0x7f536612a430>,53.33
94,<function decisionTree at 0x7f536612a4c0>,46.67
94,<function randomForest at 0x7f536612a550>,53.33
95,<function naiveBayes at 0x7f536612a3a0>,40.0
95,<function logisticRegression at 0x7f536612a430>,46.67
95,<function decisionTree at 0x7f536612a4c0>,53.33
95,<function randomForest at 0x7f536612a550>,66.67
96,<function naiveBayes at 0x7f536612a3a0>,46.67
96,<function logisticRegression at 0x7f536612a430>,60.0
96,<function decisionTree at 0x7f536612a4c0>,40.0
96,<function randomForest at 0x7f536612a550>,73.33
97,<function naiveBayes at 0x7f536612a3a0>,66.67
97,<function logisticRegression at 0x7f536612a430>,53.33
97,<function decisionTree at 0x7f536612a4c0>,73.33
97,<function randomForest at 0x7f536612a550>,66.67
98,<function naiveBayes at 0x7f536612a3a0>,46.67
98,<function logisticRegression at 0x7f536612a430>,73.33
98,<function decisionTree at 0x7f536612a4c0>,53.33
98,<function randomForest at 0x7f536612a550>,53.33
99,<function naiveBayes at 0x7f536612a3a0>,40.0
99,<function logisticRegression at 0x7f536612a430>,40.0
99,<function decisionTree at 0x7f536612a4c0>,40.0
99,<function randomForest at 0x7f536612a550>,53.33
